zip_code,population
ZCTA5 99501,16521
ZCTA5 99502,24059
ZCTA5 99503,14042
ZCTA5 99504,40824
ZCTA5 99505,6649
ZCTA5 99506,7499
ZCTA5 99507,39015
ZCTA5 99508,36534
ZCTA5 99510,289
ZCTA5 99513,0
ZCTA5 99515,22821
ZCTA5 99516,20781
ZCTA5 99517,16442
ZCTA5 99518,10786
ZCTA5 99519,868
ZCTA5 99540,291
ZCTA5 99546,108
ZCTA5 99547,60
ZCTA5 99548,60
ZCTA5 99549,69
ZCTA5 99550,238
ZCTA5 99551,606
ZCTA5 99552,392
ZCTA5 99553,951
ZCTA5 99554,675
ZCTA5 99555,208
ZCTA5 99556,2742
ZCTA5 99557,728
ZCTA5 99558,99
ZCTA5 99559,7769
ZCTA5 99561,493
ZCTA5 99563,1062
ZCTA5 99564,101
ZCTA5 99565,72
ZCTA5 99566,194
ZCTA5 99567,9544
ZCTA5 99568,197
ZCTA5 99569,84
ZCTA5 99571,101
ZCTA5 99572,227
ZCTA5 99573,816
ZCTA5 99574,2692
ZCTA5 99575,120
ZCTA5 99576,2400
ZCTA5 99577,27158
ZCTA5 99578,349
ZCTA5 99579,55
ZCTA5 99580,139
ZCTA5 99581,858
ZCTA5 99583,15
ZCTA5 99585,344
ZCTA5 99586,623
ZCTA5 99587,2278
ZCTA5 99588,854
ZCTA5 99589,331
ZCTA5 99590,171
ZCTA5 99591,62
ZCTA5 99602,221
ZCTA5 99603,9628
ZCTA5 99604,1222
ZCTA5 99605,119
ZCTA5 99606,376
ZCTA5 99607,231
ZCTA5 99609,532
ZCTA5 99610,2399
ZCTA5 99611,15779
ZCTA5 99612,831
ZCTA5 99613,310
ZCTA5 99614,644
ZCTA5 99615,13009
ZCTA5 99620,572
ZCTA5 99621,702
ZCTA5 99622,317
ZCTA5 99624,74
ZCTA5 99625,123
ZCTA5 99626,297
ZCTA5 99627,429
ZCTA5 99628,588
ZCTA5 99630,190
ZCTA5 99631,464
ZCTA5 99632,760
ZCTA5 99633,600
ZCTA5 99634,364
ZCTA5 99636,563
ZCTA5 99637,671
ZCTA5 99638,39
ZCTA5 99639,912
ZCTA5 99640,192
ZCTA5 99641,420
ZCTA5 99643,229
ZCTA5 99644,300
ZCTA5 99645,26202
ZCTA5 99647,26
ZCTA5 99648,123
ZCTA5 99649,58
ZCTA5 99650,521
ZCTA5 99651,62
ZCTA5 99652,4347
ZCTA5 99653,138
ZCTA5 99654,53456
ZCTA5 99655,596
ZCTA5 99656,32
ZCTA5 99657,360
ZCTA5 99658,678
ZCTA5 99659,385
ZCTA5 99660,675
ZCTA5 99661,1243
ZCTA5 99662,491
ZCTA5 99663,491
ZCTA5 99664,5073
ZCTA5 99665,74
ZCTA5 99666,135
ZCTA5 99667,50
ZCTA5 99668,85
ZCTA5 99669,14572
ZCTA5 99670,57
ZCTA5 99671,591
ZCTA5 99672,3157
ZCTA5 99674,1207
ZCTA5 99676,1392
ZCTA5 99677,62
ZCTA5 99678,941
ZCTA5 99679,418
ZCTA5 99680,376
ZCTA5 99681,277
ZCTA5 99682,403
ZCTA5 99683,591
ZCTA5 99684,699
ZCTA5 99685,4207
ZCTA5 99686,4000
ZCTA5 99688,2663
ZCTA5 99689,569
ZCTA5 99690,331
ZCTA5 99691,66
ZCTA5 99692,155
ZCTA5 99693,244
ZCTA5 99694,1457
ZCTA5 99695,0
ZCTA5 99701,19067
ZCTA5 99702,2584
ZCTA5 99703,7348
ZCTA5 99704,30
ZCTA5 99705,24098
ZCTA5 99706,0
ZCTA5 99709,31376
ZCTA5 99712,11945
ZCTA5 99714,1025
ZCTA5 99720,137
ZCTA5 99721,304
ZCTA5 99722,127
ZCTA5 99723,4303
ZCTA5 99724,98
ZCTA5 99726,38
ZCTA5 99727,577
ZCTA5 99729,195
ZCTA5 99730,124
ZCTA5 99732,0
ZCTA5 99733,103
ZCTA5 99734,1250
ZCTA5 99736,97
ZCTA5 99737,4964
ZCTA5 99738,131
ZCTA5 99739,358
ZCTA5 99740,516
ZCTA5 99741,566
ZCTA5 99742,757
ZCTA5 99743,1109
ZCTA5 99744,188
ZCTA5 99745,61
ZCTA5 99746,336
ZCTA5 99747,208
ZCTA5 99748,196
ZCTA5 99749,391
ZCTA5 99750,448
ZCTA5 99751,130
ZCTA5 99752,3503
ZCTA5 99753,279
ZCTA5 99754,104
ZCTA5 99755,422
ZCTA5 99756,79
ZCTA5 99757,19
ZCTA5 99758,217
ZCTA5 99759,274
ZCTA5 99760,908
ZCTA5 99761,442
ZCTA5 99762,4008
ZCTA5 99763,692
ZCTA5 99764,271
ZCTA5 99765,278
ZCTA5 99766,718
ZCTA5 99767,20
ZCTA5 99768,209
ZCTA5 99769,828
ZCTA5 99770,693
ZCTA5 99771,209
ZCTA5 99772,623
ZCTA5 99773,361
ZCTA5 99774,66
ZCTA5 99775,1146
ZCTA5 99776,116
ZCTA5 99777,261
ZCTA5 99778,267
ZCTA5 99780,1783
ZCTA5 99781,168
ZCTA5 99782,540
ZCTA5 99783,118
ZCTA5 99784,166
ZCTA5 99785,407
ZCTA5 99786,290
ZCTA5 99788,65
ZCTA5 99789,405
ZCTA5 99790,43
ZCTA5 99791,276
ZCTA5 99801,29639
ZCTA5 99820,457
ZCTA5 99824,2242
ZCTA5 99825,91
ZCTA5 99826,538
ZCTA5 99827,2656
ZCTA5 99829,775
ZCTA5 99830,487
ZCTA5 99832,64
ZCTA5 99833,3277
ZCTA5 99835,8945
ZCTA5 99836,42
ZCTA5 99840,1080
ZCTA5 99841,106
ZCTA5 99901,13651
ZCTA5 99903,30
ZCTA5 99918,130
ZCTA5 99919,528
ZCTA5 99921,2104
ZCTA5 99922,364
ZCTA5 99923,81
ZCTA5 99925,668
ZCTA5 99926,1630
ZCTA5 99927,111
ZCTA5 99929,2341
ZCTA5 99761,442
ZCTA5 99762,4008
ZCTA5 99763,692
ZCTA5 99764,271
ZCTA5 99765,278
ZCTA5 99766,718
ZCTA5 99767,20
ZCTA5 99768,209
ZCTA5 99769,828
ZCTA5 99770,693
ZCTA5 99771,209
ZCTA5 99772,623
ZCTA5 99773,361
ZCTA5 99774,66
ZCTA5 99775,1146
ZCTA5 99776,116
ZCTA5 99777,261
ZCTA5 99778,267
ZCTA5 99780,1783
ZCTA5 99781,168
ZCTA5 99782,540
ZCTA5 99783,118
ZCTA5 99784,166
ZCTA5 99785,407
ZCTA5 99786,290
ZCTA5 99788,65
ZCTA5 99789,405
ZCTA5 99790,43
ZCTA5 99791,276
ZCTA5 99801,29639
ZCTA5 99820,457
ZCTA5 99824,2242
ZCTA5 99825,91
ZCTA5 99826,538
ZCTA5 99827,2656
ZCTA5 99829,775
ZCTA5 99830,487
ZCTA5 99832,64
ZCTA5 99833,3277
ZCTA5 99835,8945
ZCTA5 99836,42
ZCTA5 99840,1080
ZCTA5 99841,106
ZCTA5 99901,13651
ZCTA5 99903,30
ZCTA5 99918,130
ZCTA5 99919,528
ZCTA5 99921,2104
ZCTA5 99922,364
ZCTA5 99923,81
ZCTA5 99925,668
ZCTA5 99926,1630
ZCTA5 99927,111
ZCTA5 99929,2341
